group,nnm,nm
IC,춘장대IC,춘장대
터널,웅천터널,웅천
IC,무창포IC,무창포
IC,대천IC,대천
휴게소,대천휴게소(서울),대천
IC,광천IC,광천
휴게소,홍성휴게소(서울),홍성
IC,홍성IC,홍성
IC,해미IC,해미
휴게소,서산휴게소(서울),서산
터널,운산터널,운산
IC,서산IC,서산
JC,당진JC,당진
IC,당진IC,당진
IC,송악IC,송악
IC,송악IC,송악
교,서해대교,서해대교
교,서해대교,서해대교
IC,서평택IC,서평택
JC,서평택JC,서평택
IC,발안IC,발안
휴게소,화성휴게소(서울),화성
JC,팔탄JC,팔탄
IC,비봉IC,비봉
휴게소,매송휴게소(서울),매송
IC,매송IC,매송
터널,용담터널,용담
JC,팔곡JC,팔곡
JC,팔곡JC,팔곡
JC,팔곡JC,팔곡
터널,팔곡터널,팔곡
터널,팔곡터널,팔곡
터널,팔곡터널,팔곡
터널,순산터널,순산
터널,순산터널,순산
터널,순산터널,순산
JC,안산JC,안산
TG,서서울TG,서서울
JC,조남JC,조남
휴게소,목감휴게소(서울),목감
IC,목감IC,목감
IC,광명역IC,광명역
JC,일직JC,일직
IC,금천IC,금천
점,서해안선종점,서해안선종점
점,서해안선시점,서해안선시점
IC,목포IC,목포
IC,일로IC,일로
TG,목포TG,목포
터널,몽탄3터널,몽탄3
터널,몽탄2터널,몽탄2
터널,몽탄1터널,몽탄1
터널,무안4터널,무안4
터널,무안3터널,무안3
터널,무안2터널,무안2
터널,무안1터널,무안1
IC,무안IC,무안
JC,함평JC,함평
휴게소,함평휴게소(목포),함평
IC,함평IC,함평
터널,함평터널,함평
터널,영광2터널,영광2
터널,영광1터널,영광1
IC,영광IC,영광
JC,고창JC,고창
IC,고창IC,고창
휴게소,고창고인돌휴게소(목포),고창고인돌
IC,선운산IC,선운산
IC,줄포IC,줄포
IC,부안IC,부안
IC,서김제IC,서김제
IC,동군산IC,동군산
휴게소,군산휴게소(목포),군산
터널,대명터널,대명
IC,군산IC,군산
JC,동서천JC,동서천
IC,서천IC,서천
터널,종천터널,종천
휴게소,서천휴게소(목포),서천
터널,비인터널,비인
IC,춘장대IC,춘장대
터널,웅천터널,웅천
IC,무창포IC,무창포
IC,대천IC,대천
휴게소,대천휴게소(목포),대천
IC,광천IC,광천
휴게소,홍성휴게소(무안),홍성
IC,홍성IC,홍성
IC,해미IC,해미
휴게소,서산휴게소(목포),서산
터널,운산터널,운산
IC,서산IC,서산
JC,당진JC,당진
IC,당진IC,당진
IC,송악IC,송악
IC,송악IC,송악
교,서해대교,서해대교
교,서해대교,서해대교
휴게소,행담도휴게소(목포),행담도
휴게소,행담도휴게소(목포),행담도
교,서해대교,서해대교
교,서해대교,서해대교
IC,서평택IC,서평택
JC,서평택JC,서평택
IC,발안IC,발안
